Country,Province,Name,Owner,Shareholders,ShareholderNationality,PlantRiver,Latitude,Longitude,Status,Capacity,Year,Capital,Link,
Panamá,Bocas del Toro,Bonyic,Empresas Públicas de Medellín,Municipio de Medellín,Colômbia,Quebrada Bonyic,9.321778,-82.647554,Operacional,31.8,2015,Estatal,https://www.grupo-epm.com/site/home/sala-de-prensa/noticias/central-hidroelectrica-bonyic,
Cuba,Cienfuegos,Hanabanilla,Unión Eléctrica,Cuban government,Cuba,Hanabanilla,22.0933017,-80.0615024,Operacional,43,1963,Estatal,https://www.minem.gob.cu/es/actividades/energias-renovables-y-eficiencia-energetica/hidroenergia,
Haití,Centro,Péligre,Electricité d’Haiti,Haiti government,Haití,Artibonite,18.900846,-72.0538845,Operacional,51,1971,Estatal,https://www.edh.ht/centrales-hydro.php,
República Dominicana,Peravia,Aguacate,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Nizao,18.4959348,-70.3210558,Operacional,60,1992,Estatal,https://egehid.gob.do/sobre-nosotros/historia/,
República Dominicana,Peravia,Jigüey,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Nizao,18.5101574,-70.3332026,Operacional,98,1992,Estatal,https://egehid.gob.do/sobre-nosotros/historia/,
República Dominicana,Monseñor Nouel,Pinalito,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Tireo,18.8841402,-70.5679827,Operacional,50,2009,Estatal,https://grupoiecca.net/2019/11/02/proyecto-hidroelectrico-pinalito/,
República Dominicana,Monseñor Nouel,Río Blanco,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Blanco / Tireo / Arroyón,18.8808928,-70.4985144,Operacional,25,1996,Estatal,https://egehid.gob.do/sobre-nosotros/historia/,
República Dominicana,Santiago de los Caballeros,Tavera,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Yaque del Norte,19.3250054,-70.7389897,Operacional,96,1973,Estatal,https://egehid.gob.do/sobre-nosotros/historia/,
República Dominicana,Peravia,Valdesia,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Nizao,18.3917022,-70.2827645,Operacional,54,1975,Estatal,https://egehid.gob.do/sobre-nosotros/historia/,
República Dominicana,Santiago de los Caballeros,Las Placetas,Empresa de Generación Eléctrica Dominicana,Corporación Dominicana de Empresas Eléctricas Estatales,República Dominicana,Bao,19.217368,-70.896187,Planejado,300,Indeterminado,Estatal,https://grupoiecca.net/en/2020/01/27/las-placetas-hydroelectric/,
,,,,,,,,,,,,,,
Brasil,Pará,Belo Monte,Norte Energia S.A.,"Eletrobras group (49,98%), Entidades de Previdência Complementar (20%), Neoenergia (10%), Vale e Sinobras (10%), Light e Cemig (9,77%), JMalucelli Energina (0,25%)",Brasil,Xingu,-3.12638900,-51.77500000,Operacional,11233,2016,Misto,https://www.norteenergiasa.com.br/pt-br/uhe-belo-monte/a-usina   https://www.norteenergiasa.com.br/pt-br/norte-energia/composicao-acionaria ,
Brasil ,Pará,Tucuruí,Centrais Elétricas do Norte do Brasil S.A.,Eletrobras Eletronorte,Brasil,Tocantins,-3.83159761,-49.64312078,Operacional,8535,1984,Estatal,https://www.eletronorte.gov.br/tucurui/,
Brasil,Paraná,Itaipu (Brazilian part),Itaipu Binacional,"Eletrobras (50%), ANDE (50%)",Brasil / Paraguai,Paraná,-25.40831282,-54.58741668,Operacional,7000,1984,Estatal,https://www.itaipu.gov.br/en/press-office/faq,
Brasil,Rondônia,Jirau,Energia Sustentável do Brasil S.A.,"Engie (40%), Eletrobras CGT Eletrosul (20%), Eletrobras Chesf (20%) e Mizha Participações S.A. (20%), subsidiária da Mitsui & CO., LTD.",França,Madeira,-9.26750812,-64.64614265,Operacional,3750,2013,Misto,https://www.jirauenergia.com.br/conheca-a-uhe/,
Brasil,Rondônia,"Santo Antônio",Santo Antônio Energia S.A.,"Consórcio Madeira Energia S/A: Eletrobras Furnas (39%), Caixa FIP Amazônia Energia (20%), Odebretch Energia do Brasil S.A. (18,6%), SAAG Investimentos S.A. (12,4%), Cemig Geração e Transmissão S.A. (10%)",Brasil,Madeira,-8.79668531,-63.95218496,Operacional,3568,2012,Misto,https://www.furnas.com.br/santoantonio/?culture=pt,
Brasil,São Paulo,Ilha Solteira,Rio Paraná Energia S.A.,CTG Brasil,China,Paraná,-20.38222200,-51.36361100,Operacional,3444,1973,Privado,https://www.ctgbr.com.br/usina-hidreletrica-ilhasolteira/,
Brasil,Sergipe,Xingó,Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.61958018,-37.79255980,Operacional,3162,1994,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/Xingo.aspx,
Brasil,Bahia,Paulo Afonso IV,Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.41564531,-38.20767127,Operacional,2462,1979,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/PauloAfonsoIV.aspx,
Brasil,Minas Gerais,Itumbiara,Furnas Centrais Elétricas S.A.,Eletrobras Furnas,Brasil,Paranaíba,-18.42361111,-49.11833333,Operacional,2082,1980,Estatal,https://www.furnas.com.br/subsecao/121/usina-de-itumbiara---2082-mw?culture=pt,
Brasil,Mato Grosso,Teles Pires,Companhia Hidrelétrica Teles Pires,"Neoenergia (51%), Eletrobras CGT Eletrosul (24,5%) e Eletrobras Furnas (24,5%)",Espanha,Teles Pires,-9.35150944,-56.77799361,Operacional,1819,2015,Misto,https://www.furnas.com.br/telespires/?culture=pt,
Brasil,Minas Gerais,São Simão,UHE São Simão Energia S.A.,"SPIC Brasil (51,0%), Zhejiang Energy Brazil (35,0%), ZLCFB – Hong Kong (7,0%), CPD Energy Investment (7,0%)",China,Paranaíba,-19.01833333,-50.49861111,Operacional,1710,1978,Privado,https://www.spicbrasil.com.br/,
Brasil,Paraná,Governador Bento Munhoz da Rocha Neto (Foz do Areia),F.D.A. Geração de Energia Elétrica S.A.,Copel,Brasil,Iguaçu,-26.00977231,-51.66597303,Operacional,1676,1980,Estatal,https://www.copel.com/site/copel-geracao/usinas/usina-governador-bento-munhoz-da-rocha-netto/,
Brasil,São Paulo,Jupiá (Eng° Souza Dias),Rio Paraná Energia S.A.,CTG Brasil,China,Paraná,-20.77583300,-51.62666700,Operacional,1551,1969,Privado,https://www.ctgbr.com.br/usina-hidreletrica-jupia/,
